,idUF,Mun,Est,Trab,Atv,Rend,idUFNum,Estado
162,43,00034,1,1,612,3000.0,43,Rio Grande do Sul
163,43,00034,5,2,,,43,Rio Grande do Sul
164,43,00034,5,1,611,520.0,43,Rio Grande do Sul
165,43,00034,5,1,911,520.0,43,Rio Grande do Sul
166,43,00034,5,1,512,520.0,43,Rio Grande do Sul
167,43,00034,5,2,,,43,Rio Grande do Sul
168,43,00034,5,1,834,520.0,43,Rio Grande do Sul
169,43,00034,,,,,43,Rio Grande do Sul
170,43,00034,5,2,,,43,Rio Grande do Sul
171,43,00034,5,2,,,43,Rio Grande do Sul
172,43,00034,4,2,,,43,Rio Grande do Sul
173,43,00034,1,1,612,4000.0,43,Rio Grande do Sul
174,43,00034,,,,,43,Rio Grande do Sul
175,43,00034,1,2,,,43,Rio Grande do Sul
176,43,00034,5,1,921,1000.0,43,Rio Grande do Sul
177,43,00034,5,1,000,500.0,43,Rio Grande do Sul
178,43,00034,,,,,43,Rio Grande do Sul
179,43,00034,5,1,911,150.0,43,Rio Grande do Sul
180,43,00034,5,1,921,200.0,43,Rio Grande do Sul
181,43,00034,,,,,43,Rio Grande do Sul
182,43,00034,5,1,612,511.0,43,Rio Grande do Sul
183,43,00034,5,2,,,43,Rio Grande do Sul
184,43,00034,,,,,43,Rio Grande do Sul
185,43,00034,5,2,,,43,Rio Grande do Sul
186,43,00034,5,2,,,43,Rio Grande do Sul
187,43,00034,1,1,832,500.0,43,Rio Grande do Sul
188,43,00034,5,2,,,43,Rio Grande do Sul
189,43,00034,1,2,,,43,Rio Grande do Sul
190,43,00034,5,1,265,1500.0,43,Rio Grande do Sul
191,43,00034,1,1,921,700.0,43,Rio Grande do Sul
192,43,00034,,,,,43,Rio Grande do Sul
193,43,00034,1,2,921,,43,Rio Grande do Sul
194,43,00034,5,1,611,700.0,43,Rio Grande do Sul
195,43,00034,5,1,834,600.0,43,Rio Grande do Sul
196,43,00034,5,1,834,600.0,43,Rio Grande do Sul
197,43,00034,1,2,,,43,Rio Grande do Sul
198,43,00034,1,1,834,600.0,43,Rio Grande do Sul
199,43,00034,5,2,,,43,Rio Grande do Sul
200,43,00034,5,1,834,800.0,43,Rio Grande do Sul
201,43,00034,5,2,,,43,Rio Grande do Sul
202,43,00034,,,,,43,Rio Grande do Sul
203,43,00034,,,,,43,Rio Grande do Sul
204,43,00034,5,1,611,100.0,43,Rio Grande do Sul
205,43,00034,4,2,,,43,Rio Grande do Sul
206,43,00034,5,2,,,43,Rio Grande do Sul
207,43,00034,4,2,,,43,Rio Grande do Sul
208,43,00034,1,1,612,100.0,43,Rio Grande do Sul
209,43,00034,5,2,,,43,Rio Grande do Sul
210,43,00034,1,2,,,43,Rio Grande do Sul
211,43,00034,5,1,962,1500.0,43,Rio Grande do Sul
212,43,00034,5,1,815,2000.0,43,Rio Grande do Sul
213,43,00034,5,1,222,2000.0,43,Rio Grande do Sul
214,43,00034,5,1,613,700.0,43,Rio Grande do Sul
215,43,00034,5,1,613,700.0,43,Rio Grande do Sul
216,43,00034,1,1,612,6000.0,43,Rio Grande do Sul
217,43,00034,,,,,43,Rio Grande do Sul
218,43,00034,1,2,,,43,Rio Grande do Sul
219,43,00034,5,1,522,600.0,43,Rio Grande do Sul
220,43,00034,5,1,432,1000.0,43,Rio Grande do Sul
221,43,00034,,,,,43,Rio Grande do Sul
222,43,00034,1,1,613,4750.0,43,Rio Grande do Sul
223,43,00034,1,1,613,4750.0,43,Rio Grande do Sul
224,43,00034,5,2,,,43,Rio Grande do Sul
225,43,00034,1,1,611,1000.0,43,Rio Grande do Sul
226,43,00034,1,1,611,1000.0,43,Rio Grande do Sul
227,43,00034,5,1,834,510.0,43,Rio Grande do Sul
228,43,00034,,,,,43,Rio Grande do Sul
229,43,00034,5,2,,,43,Rio Grande do Sul
230,43,00034,5,2,,,43,Rio Grande do Sul
231,43,00034,,,,,43,Rio Grande do Sul
232,43,00034,,,,,43,Rio Grande do Sul
233,43,00034,5,2,,,43,Rio Grande do Sul
234,43,00034,4,1,000,500.0,43,Rio Grande do Sul
235,43,00034,5,2,,,43,Rio Grande do Sul
236,43,00034,5,2,,,43,Rio Grande do Sul
237,43,00034,,,,,43,Rio Grande do Sul
238,43,00034,1,1,921,500.0,43,Rio Grande do Sul
239,43,00034,5,1,000,500.0,43,Rio Grande do Sul
240,43,00034,1,2,,,43,Rio Grande do Sul
241,43,00034,5,1,921,2000.0,43,Rio Grande do Sul
242,43,00034,5,2,,,43,Rio Grande do Sul
243,43,00034,4,1,911,100.0,43,Rio Grande do Sul
244,43,00034,5,2,,,43,Rio Grande do Sul
245,43,00034,1,1,000,1000.0,43,Rio Grande do Sul
246,43,00034,1,1,000,1000.0,43,Rio Grande do Sul
247,43,00034,5,2,,,43,Rio Grande do Sul
248,43,00034,1,2,,,43,Rio Grande do Sul
249,43,00034,1,1,921,800.0,43,Rio Grande do Sul
250,43,00034,5,1,432,670.0,43,Rio Grande do Sul
251,43,00034,4,2,,,43,Rio Grande do Sul
252,43,00034,1,1,921,450.0,43,Rio Grande do Sul
253,43,00034,5,1,921,450.0,43,Rio Grande do Sul
254,43,00034,1,1,921,450.0,43,Rio Grande do Sul
255,43,00034,5,2,,,43,Rio Grande do Sul
256,43,00034,5,2,,,43,Rio Grande do Sul
257,43,00034,5,1,612,600.0,43,Rio Grande do Sul
258,43,00034,4,2,,,43,Rio Grande do Sul
259,43,00034,1,2,,,43,Rio Grande do Sul
260,43,00034,1,2,,,43,Rio Grande do Sul
261,43,00034,5,1,422,900.0,43,Rio Grande do Sul
262,43,00034,2,1,411,1000.0,43,Rio Grande do Sul
263,43,00034,2,2,,,43,Rio Grande do Sul
264,43,00034,5,2,,,43,Rio Grande do Sul
265,43,00034,5,1,000,1000.0,43,Rio Grande do Sul
266,43,00034,1,1,911,500.0,43,Rio Grande do Sul
267,43,00034,5,2,,,43,Rio Grande do Sul
268,43,00034,5,2,,,43,Rio Grande do Sul
269,43,00034,1,2,,,43,Rio Grande do Sul
270,43,00034,,,,,43,Rio Grande do Sul
271,43,00034,5,2,,,43,Rio Grande do Sul
272,43,00034,1,1,834,520.0,43,Rio Grande do Sul
273,43,00034,,,,,43,Rio Grande do Sul
274,43,00034,,,,,43,Rio Grande do Sul
275,43,00034,1,1,962,840.0,43,Rio Grande do Sul
276,43,00034,1,1,962,840.0,43,Rio Grande do Sul
277,43,00034,,,,,43,Rio Grande do Sul
278,43,00034,1,1,611,500.0,43,Rio Grande do Sul
279,43,00034,3,1,611,500.0,43,Rio Grande do Sul
280,43,00034,5,2,,,43,Rio Grande do Sul
281,43,00034,5,2,,,43,Rio Grande do Sul
282,43,00034,1,1,611,2000.0,43,Rio Grande do Sul
283,43,00034,1,1,412,510.0,43,Rio Grande do Sul
284,43,00034,1,1,342,2000.0,43,Rio Grande do Sul
285,43,00034,1,2,,,43,Rio Grande do Sul
286,43,00034,1,2,,,43,Rio Grande do Sul
287,43,00034,1,1,911,350.0,43,Rio Grande do Sul
288,43,00034,1,1,911,683.0,43,Rio Grande do Sul
289,43,00034,1,1,832,647.0,43,Rio Grande do Sul
290,43,00034,5,1,932,700.0,43,Rio Grande do Sul
291,43,00034,4,2,,,43,Rio Grande do Sul
292,43,00034,,,,,43,Rio Grande do Sul
293,43,00034,,,,,43,Rio Grande do Sul
294,43,00034,1,1,612,10000.0,43,Rio Grande do Sul
295,43,00034,1,2,,,43,Rio Grande do Sul
296,43,00034,5,2,,,43,Rio Grande do Sul
297,43,00034,5,1,921,500.0,43,Rio Grande do Sul
298,43,00034,,,,,43,Rio Grande do Sul
299,43,00034,5,1,961,510.0,43,Rio Grande do Sul
300,43,00034,5,1,613,300.0,43,Rio Grande do Sul
301,43,00034,,,,,43,Rio Grande do Sul
302,43,00034,5,1,000,500.0,43,Rio Grande do Sul
303,43,00034,1,1,514,500.0,43,Rio Grande do Sul
304,43,00034,1,1,000,500.0,43,Rio Grande do Sul
305,43,00034,5,2,,,43,Rio Grande do Sul
306,43,00034,1,2,,,43,Rio Grande do Sul
307,43,00034,1,1,611,3000.0,43,Rio Grande do Sul
308,43,00034,5,2,,,43,Rio Grande do Sul
309,43,00034,5,2,,,43,Rio Grande do Sul
310,43,00034,,,,,43,Rio Grande do Sul
311,43,00034,5,2,,,43,Rio Grande do Sul
312,43,00034,1,2,,,43,Rio Grande do Sul
313,43,00034,5,2,,,43,Rio Grande do Sul
314,43,00034,1,1,612,750.0,43,Rio Grande do Sul
315,43,00034,1,2,,,43,Rio Grande do Sul
316,43,00034,1,1,921,1000.0,43,Rio Grande do Sul
317,43,00034,5,2,,,43,Rio Grande do Sul
318,43,00034,5,2,,,43,Rio Grande do Sul
319,43,00034,5,1,522,1000.0,43,Rio Grande do Sul
